Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,
Data,6,record,timestamp,"988242097",s,heart_rate,"127",bpm,cadence,"33",rpm,distance,"640.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242098",s,heart_rate,"127",bpm,cadence,"32",rpm,distance,"646.0",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242101",s,heart_rate,"129",bpm,cadence,"32",rpm,distance,"659.0",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242102",s,heart_rate,"130",bpm,cadence,"32",rpm,distance,"661.0",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242104",s,heart_rate,"131",bpm,cadence,"34",rpm,distance,"675.0",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242105",s,heart_rate,"132",bpm,cadence,"34",rpm,distance,"677.0",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242108",s,heart_rate,"133",bpm,cadence,"33",rpm,distance,"687.0",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242110",s,heart_rate,"134",bpm,cadence,"34",rpm,distance,"699.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242111",s,heart_rate,"135",bpm,cadence,"34",rpm,distance,"706.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242113",s,heart_rate,"136",bpm,cadence,"33",rpm,distance,"711.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242115",s,heart_rate,"137",bpm,cadence,"33",rpm,distance,"717.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242117",s,heart_rate,"138",bpm,cadence,"32",rpm,distance,"730.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242119",s,heart_rate,"138",bpm,cadence,"33",rpm,distance,"738.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242121",s,heart_rate,"139",bpm,cadence,"33",rpm,distance,"743.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242123",s,heart_rate,"140",bpm,cadence,"33",rpm,distance,"753.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242124",s,heart_rate,"141",bpm,cadence,"33",rpm,distance,"759.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242126",s,heart_rate,"141",bpm,cadence,"33",rpm,distance,"769.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242127",s,heart_rate,"142",bpm,cadence,"33",rpm,distance,"774.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242130",s,heart_rate,"142",bpm,cadence,"33",rpm,distance,"784.0",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242132",s,heart_rate,"143",bpm,cadence,"32",rpm,distance,"794.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242134",s,heart_rate,"143",bpm,cadence,"31",rpm,distance,"804.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242135",s,heart_rate,"143",bpm,cadence,"31",rpm,distance,"810.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242138",s,heart_rate,"144",bpm,cadence,"32",rpm,distance,"819.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242139",s,heart_rate,"145",bpm,cadence,"32",rpm,distance,"824.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242141",s,heart_rate,"145",bpm,cadence,"30",rpm,distance,"834.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242143",s,heart_rate,"146",bpm,cadence,"31",rpm,distance,"844.99",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242145",s,heart_rate,"146",bpm,cadence,"31",rpm,distance,"848.99",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242147",s,heart_rate,"146",bpm,cadence,"32",rpm,distance,"862.99",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242149",s,heart_rate,"147",bpm,cadence,"32",rpm,distance,"869.99",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242151",s,heart_rate,"147",bpm,cadence,"32",rpm,distance,"874.0",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242153",s,heart_rate,"147",bpm,cadence,"31",rpm,distance,"885.0",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242155",s,heart_rate,"148",bpm,cadence,"31",rpm,distance,"895.0",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242157",s,heart_rate,"148",bpm,cadence,"31",rpm,distance,"900.0",m,speed,"4.31",m/s,power,"224",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242159",s,heart_rate,"148",bpm,cadence,"32",rpm,distance,"913.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242161",s,heart_rate,"149",bpm,cadence,"30",rpm,distance,"920.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242162",s,heart_rate,"149",bpm,cadence,"30",rpm,distance,"925.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242164",s,heart_rate,"149",bpm,cadence,"31",rpm,distance,"934.0",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242167",s,heart_rate,"150",bpm,cadence,"33",rpm,distance,"944.99",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242168",s,heart_rate,"150",bpm,cadence,"33",rpm,distance,"949.99",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242170",s,heart_rate,"150",bpm,cadence,"30",rpm,distance,"960.99",m,speed,"4.347",m/s,power,"230",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242172",s,heart_rate,"150",bpm,cadence,"33",rpm,distance,"969.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242174",s,heart_rate,"150",bpm,cadence,"33",rpm,distance,"975.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242176",s,heart_rate,"151",bpm,cadence,"31",rpm,distance,"985.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242178",s,heart_rate,"151",bpm,cadence,"31",rpm,distance,"996.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242179",s,heart_rate,"151",bpm,cadence,"31",rpm,distance,"999.99",m,speed,"4.385",m/s,power,"236",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,event,timestamp,"988242120",s,event,"0",,event_type,"1",,timer_trigger,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
